Index_tech_id,date,volume
ros-prometheus-metrics-enr-unmapped-636_77,24/07/24,21852
ros-prometheus-metrics-enr-unmapped-636_80,23/07/24,30276
ros-prometheus-metrics-enr-unmapped-636_80,24/07/24,19617
ros-prometheus-metrics-enr-unmapped-636_2023031713953002,23/07/24,26598
ros-prometheus-metrics-enr-unmapped-636_2023031713953002,24/07/24,17175
ros-prometheus-metrics-enr-unmapped-636_20231017132182725,23/07/24,0
ros-prometheus-metrics-enr-unmapped-636_20231017132182725,24/07/24,0
ros-prometheus-metrics-enr-unmapped-636_20231108162389053,24/07/24,0
ros-prometheus-metrics-enr-unmapped-636_20240306164072012,23/07/24,0
ros-prometheus-metrics-enr-unmapped-636_20240306164072012,24/07/24,0
az-hci-perf-counter-metrics-enr-numeric-636_2976277,23/07/24,1370565
az-hci-perf-counter-metrics-enr-numeric-636_2976277,24/07/24,887613
az-hci-perf-counter-metrics-enr-numeric-636_2976279,23/07/24,918327
az-hci-perf-counter-metrics-enr-numeric-636_2976279,24/07/24,560574
az-hci-perf-counter-metrics-enr-unmapped-636_2976277,23/07/24,6858285
az-hci-perf-counter-metrics-enr-unmapped-636_2976277,24/07/24,4463664
az-hci-perf-counter-metrics-enr-unmapped-636_2976279,23/07/24,4335972
az-hci-perf-counter-metrics-enr-unmapped-636_2976279,24/07/24,2654469
middleware-enr-string-636_7,23/07/24,9564
middleware-enr-string-636_7,24/07/24,8778
middleware-enr-string-636_8,23/07/24,144
middleware-enr-string-636_8,24/07/24,141
middleware-enr-string-636_13,23/07/24,108
middleware-enr-string-636_13,24/07/24,156
os-metrics-enr-string-636_1,23/07/24,16551
os-metrics-enr-string-636_1,24/07/24,9372
os-metrics-enr-string-636_2,23/07/24,5208
os-metrics-enr-string-636_2,24/07/24,2877
os-metrics-enr-string-636_3,23/07/24,297
os-metrics-enr-string-636_3,24/07/24,207
os-metrics-enr-string-636_4,23/07/24,2258106
